Date,Close,Volume,Open,High,Low,Asset_Name,MA_7,MA_30,Daily_Return,Volatility_7,Day,Month,Year,DayOfWeek,Quarter,Close_lag1,Close_lag2,Close_lag7,EMA_7,Price_Range,Open_Close_Diff,Rolling_STD_7
2020-03-09,40.5334,256105972,40.3594,44.1999,40.3334,Tesla,47.0728,49.82988333333333,-0.1357244443875842,0.073315671484609,9,3,2020,0,1,46.8987,48.3027,45.2667,46.853800455700124,3.866500000000002,-0.1739999999999995,3.471283250230852
2020-03-10,43.022,233916483,43.962,44.5334,40.5334,Tesla,46.85698571428571,50.02390333333334,0.0613962805982226,0.0784896563733425,10,3,2020,1,1,40.5334,46.8987,44.5327,45.89585034177509,4.0,0.9400000000000048,3.695260171457734
2020-03-11,42.282,201203749,42.68,43.572,40.8667,Tesla,45.81517142857143,50.173523333333335,-0.017200502068709,0.0597636909846601,11,3,2020,2,1,43.022,40.5334,49.5747,44.99238775633131,2.705300000000001,0.39800000000000324,3.8270217034983705
2020-03-12,37.37,283635608,38.726,39.6334,36.4167,Tesla,44.05364285714285,50.1281,-0.1161723664916513,0.0682571892776397,12,3,2020,3,1,42.282,43.022,49.7007,43.086790817248485,3.216700000000003,1.3560000000000016,4.516253582656439
2020-03-13,36.4414,339603580,39.6667,40.5047,33.4667,Tesla,42.121457142857146,49.91879000000001,-0.0248488092052447,0.0659906338262311,13,3,2020,4,1,37.37,42.282,49.9667,41.425443112936364,7.037999999999997,3.225299999999997,4.457725197847417
2020-03-16,29.6713,307341746,31.3,32.9913,29.478,Tesla,39.45982857142857,49.462120000000006,-0.1857804584895201,0.0850140688237772,16,3,2020,0,1,36.4414,37.37,48.3027,38.48690733470227,3.513300000000001,1.628700000000002,5.574296169237956
2020-03-17,28.68,359918520,29.334,31.4567,26.4,Tesla,36.85715714285714,48.68478666666667,-0.0334093888707268,0.0847327714505968,17,3,2020,1,1,29.6713,36.4414,46.8987,36.03518050102671,5.056700000000003,0.6539999999999999,5.771875383228904
2020-03-18,24.0813,356792222,25.9333,26.9907,23.3673,Tesla,34.50685714285714,47.51625,-0.1603451882845188,0.0886030008934118,18,3,2020,2,1,28.68,29.6713,40.5334,33.04671037577003,3.6234,1.8520000000000003,7.198699722833549
2020-03-19,28.5093,452931674,24.9798,30.1333,23.8973,Tesla,32.433614285714285,46.83389333333333,0.1838771162686401,0.123606343381583,19,3,2020,3,1,24.0813,28.68,43.022,31.912357781827524,6.235999999999997,-3.5294999999999987,6.380991934234199
2020-03-20,28.502,424282288,29.2133,31.8,28.386,Tesla,30.46504285714286,46.11960333333334,-0.0002560567955018,0.1245308445229496,20,3,2020,4,1,28.5093,24.0813,42.282,31.05976833637064,3.4140000000000015,0.7113000000000014,4.754687578540132
2020-03-23,28.9527,246818127,28.9067,29.4667,27.3667,Tesla,29.262571428571427,45.42231333333333,0.0158129254087433,0.1224873338990076,23,3,2020,0,1,28.502,28.5093,37.37,30.533001252277984,2.099999999999998,-0.045999999999999375,3.654438142731059
2020-03-24,33.6667,343427378,31.82,34.246,31.6,Tesla,28.866185714285717,44.83057999999999,0.1628172847437372,0.1425183299271023,24,3,2020,1,1,28.9527,28.502,36.4414,31.316425939208486,2.646000000000001,-1.8466999999999985,2.7955448547218675
2020-03-25,35.95,318341091,36.35,37.1334,34.074,Tesla,29.763142857142856,44.30806666666667,0.0678207249299753,0.1183348390870692,25,3,2020,2,1,33.6667,28.9527,29.6713,32.474819454406365,3.0594000000000037,0.3999999999999986,3.889963950500118
2020-03-26,35.2107,261331069,36.4927,37.3334,34.15,Tesla,30.6961,43.77666666666666,-0.0205646731571627,0.1172139696660141,26,3,2020,3,1,35.95,33.6667,28.68,33.15878959080477,3.183399999999999,1.2819999999999965,4.343591723831023
2020-03-27,34.2907,215661042,33.6667,35.0534,32.9353,Tesla,32.15458571428572,43.13302333333333,-0.0261284211901496,0.0868701835434358,27,3,2020,4,1,35.2107,35.95,24.0813,33.44176719310358,2.1181000000000054,-0.6240000000000023,3.353506633574562
2020-03-30,33.4754,179970960,34.0174,34.4432,32.7487,Tesla,32.86402857142857,42.47102333333334,-0.0237761258883604,0.0690637137316011,30,3,2020,0,1,34.2907,35.2107,28.5093,33.45017539482769,1.694499999999998,0.5420000000000016,2.955484131640867
2020-03-31,34.9334,266572217,33.4167,36.1974,33.1333,Tesla,33.7828,41.727913333333326,0.0435543712696486,0.0683640975318291,31,3,2020,1,1,33.4754,34.2907,28.502,33.82098154612077,3.0641000000000034,-1.5167000000000002,2.300555621293835
2020-04-01,32.104,200297600,33.6,34.2637,31.6733,Tesla,34.23298571428571,40.75933333333333,-0.0809941202402285,0.080710676843446,1,4,2020,2,2,34.9334,33.4754,28.9527,33.39173615959058,2.590399999999999,1.4960000000000022,1.2796594721885568
2020-04-02,30.298,297876301,32.0687,32.9507,29.76,Tesla,33.75174285714286,39.77057666666666,-0.0562546723149763,0.0525455041782359,2,4,2020,3,2,32.104,34.9334,33.6667,32.618302119692935,3.190699999999996,1.7707000000000015,1.973467356251549
2020-04-03,32.0007,338431031,33.9667,34.366,31.226,Tesla,33.187557142857145,38.83504333333334,0.0561984289392041,0.049641337334344,3,4,2020,4,2,30.298,32.104,35.95,32.4639015897697,3.1400000000000006,1.966000000000001,1.7969009626364554
2020-04-06,34.416,223527488,34.08,34.7334,33.1973,Tesla,33.07402857142857,38.129376666666666,0.075476473952132,0.0601446410936952,6,4,2020,0,2,32.0007,30.298,35.2107,32.95192619232727,1.5361000000000047,-0.3359999999999985,1.6682756613884175
2020-04-07,36.3634,268796566,36.3334,37.6667,35.4894,Tesla,33.370128571428566,37.56390999999999,0.0565841469084147,0.0626202728549111,7,4,2020,1,2,34.416,32.0007,34.2907,33.80479464424545,2.1772999999999954,-0.030000000000001137,2.0585112198822135
2020-04-08,36.5894,189840205,36.9467,37.1472,35.5554,Tesla,33.81498571428571,37.052890000000005,0.0062150403977625,0.0609180301001737,8,4,2020,2,2,36.3634,34.416,33.4754,34.50094598318408,1.5917999999999992,0.35730000000000217,2.394164849816161
