Date,Volume,Open,High,Low,Close
2016-11-08,48793881,12.9193,13.166,12.7507,12.996
2016-11-09,122496644,12.4583,12.8,12.2633,12.6707
2016-11-10,101194299,12.7367,12.774,12.028,12.3567
2016-11-11,59806335,12.2827,12.592,12.2,12.5707
2016-11-14,98218646,12.5333,12.55,11.8793,12.0967
2016-11-15,58496116,12.1853,12.4287,12.1367,12.2513
2016-11-16,51489994,12.1767,12.3153,12.0807,12.262
2016-11-17,73214498,12.2327,12.6327,12.1407,12.5773
2016-11-18,78097056,12.71,12.8667,12.3333,12.3347
2016-11-21,65338047,12.336,12.5927,12.294,12.3013
2016-11-22,84018528,12.3893,12.7647,12.2473,12.7447
2016-11-23,73354238,12.7073,13.0429,12.6,12.876
2016-11-25,35491452,12.9093,13.1492,12.9093,13.11
2016-11-28,67816196,13.032,13.29,12.97,13.0747
2016-11-29,66529647,13.0373,13.1153,12.6333,12.638
2016-11-30,53173338,12.7333,12.7927,12.5,12.6267
2016-12-01,76786537,12.55,12.5687,12.0667,12.1253
2016-12-02,60602985,12.192,12.3253,12.0,12.098
2016-12-05,61042169,12.1673,12.5927,12.1673,12.4533
2016-12-06,50840450,12.368,12.4387,12.1788,12.39
2016-12-07,81856024,12.41,12.8933,12.3333,12.8767
2016-12-08,47905236,12.8033,12.8333,12.636,12.8193
2016-12-09,40814035,12.7247,12.9224,12.7207,12.812
2016-12-12,36546402,12.8533,12.9613,12.736,12.8287
2016-12-13,102289779,12.8787,13.4187,12.8667,13.21
2016-12-14,62209679,13.2493,13.5333,13.1173,13.246
2016-12-15,48279771,13.2273,13.3827,13.1593,13.172
2016-12-16,56931632,13.2053,13.506,13.1733,13.4993
2016-12-19,52304029,13.4993,13.63,13.3227,13.5153
2016-12-20,70264000,13.5367,13.9333,13.5,13.9193
2016-12-21,78092106,13.8967,14.1487,13.8273,13.8467
2016-12-22,46626382,13.8813,13.9993,13.7667,13.8967
2016-12-23,70023910,13.8667,14.23,13.8473,14.2227
2016-12-27,88699981,14.3253,14.8167,14.2947,14.6353
2016-12-28,56678132,14.7687,14.92,14.48,14.6493
2016-12-29,60646260,14.5707,14.6133,14.2748,14.312
2016-12-30,69619285,14.42,14.5,14.112,14.246
2017-01-03,88522366,14.324,14.6887,14.064,14.466
2017-01-04,168068316,14.3167,15.2,14.2873,15.1327
2017-01-05,88633861,15.0947,15.1653,14.7967,15.1167
2017-01-06,82862254,15.1287,15.354,15.03,15.2673
2017-01-09,59590710,15.2647,15.4613,15.2,15.4187
2017-01-10,54884688,15.4667,15.4667,15.126,15.3247
2017-01-11,54748623,15.2713,15.332,15.112,15.3153
2017-01-12,56813177,15.2707,15.38,15.0387,15.306
2017-01-13,91284104,15.3333,15.8567,15.306,15.85
2017-01-17,69220930,15.78,15.9973,15.6247,15.7053
2017-01-18,56509052,15.7767,15.9807,15.7053,15.8907
2017-01-19,115758602,16.4833,16.5787,16.05,16.2507
2017-01-20,62995769,16.364,16.4,16.2007,16.3153
2017-01-23,93931408,16.39,16.726,16.3667,16.5947
2017-01-24,74372123,16.6667,16.9867,16.6433,16.974
2017-01-25,77179476,17.154,17.2307,16.7867,16.9647
2017-01-26,47155731,16.9527,17.0493,16.7167,16.834
2017-01-27,47426586,16.7587,16.8667,16.568,16.8633
2017-01-30,56979542,16.8353,17.0193,16.4733,16.7087
2017-01-31,61680164,16.616,17.0593,16.5133,16.7953
2017-02-01,59296545,16.87,16.88,16.6033,16.616
2017-02-02,37481966,16.556,16.828,16.514,16.77
2017-02-03,32778434,16.794,16.8119,16.6453,16.7553
2017-02-06,53363973,16.7333,17.188,16.7087,17.1847
2017-02-07,63660913,17.2127,17.3333,17.0947,17.1653
2017-02-08,58686391,17.1567,17.5573,17.08,17.472
2017-02-09,117188941,17.75,18.0787,17.7433,17.9467
2017-02-10,54275013,17.986,18.0633,17.7407,17.9487
2017-02-13,105346027,18.0493,18.7193,18.034,18.7067
2017-02-14,110121695,18.602,19.1593,18.574,18.732
2017-02-15,74158148,18.6667,18.816,18.4293,18.6507
2017-02-16,105957847,18.5067,18.6667,17.9,17.93
2017-02-17,93771988,17.72,18.1927,17.61,18.1487
2017-02-21,84713583,18.3633,18.76,18.2673,18.4927
2017-02-22,128067101,18.6873,18.8967,18.1733,18.234
2017-02-23,223156238,17.6,17.644,17.0373,17.066
2017-02-24,122502974,16.844,17.2167,16.68,17.1333
2017-02-27,171752314,16.5447,16.5573,16.134,16.4153
2017-02-28,91108304,16.2793,16.7333,16.26,16.666
2017-03-01,72074409,16.9453,16.99,16.6073,16.668
2017-03-02,50186240,16.6473,16.8853,16.5513,16.6987
2017-03-03,43882193,16.716,16.7933,16.6,16.7713
2017-03-06,50303990,16.5273,16.78,16.5007,16.7473
2017-03-07,51788779,16.7947,16.926,16.5547,16.5727
2017-03-08,55901162,16.4667,16.6713,16.3547,16.458
2017-03-09,58147381,16.5087,16.5773,16.2,16.3267
2017-03-10,45941752,16.414,16.4333,16.2,16.246
2017-03-13,45169177,16.3213,16.4567,16.1854,16.4113
