Date,Open,High,Low,Close,Volume,Asset_Name
2017-11-14,40.7564,40.8578,40.3168,40.3521,104847162,Apple
2017-11-15,40.0274,40.1084,39.659,39.8179,123136240,Apple
2017-11-16,40.3168,40.4758,40.1044,40.2999,100231664,Apple
2017-11-17,40.284,40.3651,39.9553,40.0716,92932066,Apple
2017-11-20,40.1015,40.1666,39.9354,40.0294,68115080,Apple
2017-11-21,40.2208,40.9091,40.2208,40.7778,106368167,Apple
2017-11-22,40.8294,41.2125,40.7594,41.2026,108537346,Apple
2017-11-24,41.2381,41.334,41.1304,41.2055,59558743,Apple
2017-11-27,41.2254,41.2324,40.8244,40.9982,87439690,Apple
2017-11-28,41.0486,41.1808,40.4728,40.7622,112111761,Apple
2017-11-29,40.6553,40.7265,39.3684,39.9156,176108644,Apple
2017-11-30,40.1358,40.539,39.6747,40.4698,176172553,Apple
2017-12-01,40.0225,40.4282,39.6884,40.287,168722717,Apple
2017-12-04,40.62,40.6533,39.9523,39.9916,138058914,Apple
2017-12-05,39.8129,40.3937,39.6649,39.9553,115989291,Apple
2017-12-06,39.4494,40.0816,39.1968,39.811,120591350,Apple
2017-12-07,39.805,40.1378,39.7784,39.8762,108939606,Apple
2017-12-08,40.1507,40.2741,39.7556,39.889,98915082,Apple
2017-12-11,39.8475,40.7196,39.7488,40.6653,145498762,Apple
2017-12-12,40.5419,40.5972,40.379,40.4332,82344743,Apple
2017-12-13,40.6248,40.8727,40.5053,40.5714,99373612,Apple
2017-12-14,40.6002,40.7749,40.4232,40.5587,86802641,Apple
2017-12-15,40.8926,41.0169,40.615,40.9746,170398427,Apple
2017-12-18,41.1828,41.727,41.1788,41.5503,124783906,Apple
2017-12-19,41.2205,41.3093,40.9982,41.1009,116319562,Apple
2017-12-20,41.1808,41.3172,40.8046,41.0613,99600605,Apple
2017-12-21,41.0169,41.4565,41.001,41.2155,88535471,Apple
2017-12-22,41.1374,41.3172,41.093,41.2155,69384783,Apple
2017-12-26,40.2247,40.381,39.9651,40.1696,140737322,Apple
2017-12-27,40.0588,40.2208,39.972,40.1765,91207429,Apple
2017-12-28,40.2741,40.4698,40.1477,40.294,69882089,Apple
2017-12-29,40.1567,40.1745,39.8525,39.8545,110168964,Apple
2018-01-02,40.0746,40.5774,39.8625,40.5685,108357893,Apple
2018-01-03,40.6328,41.1048,40.4953,40.5616,125118559,Apple
2018-01-04,40.6347,40.8558,40.5251,40.7534,94895766,Apple
2018-01-05,40.8479,41.3043,40.7594,41.2125,100193024,Apple
2018-01-08,41.0613,41.3586,40.9647,41.0713,87174074,Apple
2018-01-09,41.1048,41.2284,40.8401,41.0555,91432224,Apple
2018-01-10,40.7817,41.0486,40.7464,41.0457,101647240,Apple
2018-01-11,41.1148,41.3311,41.093,41.2816,79205943,Apple
2018-01-12,41.4939,41.7667,41.3685,41.7004,107565920,Apple
2018-01-16,41.8949,42.2487,41.484,41.4959,125335577,Apple
2018-01-17,41.486,42.2169,41.2304,42.1804,145510688,Apple
2018-01-18,42.2447,42.4163,41.9809,42.2189,132013759,Apple
2018-01-19,42.0659,42.293,41.7764,42.0313,133666447,Apple
2018-01-22,41.7519,41.8672,41.5918,41.6848,114912750,Apple
2018-01-23,41.7519,42.2613,41.6411,41.6935,138171452,Apple
2018-01-24,41.7389,41.7519,40.7917,41.0288,218159031,Apple
2018-01-25,41.095,41.2006,40.1597,40.3019,175993966,Apple
2018-01-26,40.5053,40.5053,40.0489,40.3908,165986157,Apple
2018-01-29,40.0746,40.0746,39.3459,39.5571,214719833,Apple
2018-01-30,38.9852,39.4179,38.7878,39.3232,194064360,Apple
2018-01-31,39.2973,39.6747,39.2066,39.4329,137037308,Apple
2018-02-01,39.3714,39.7152,39.2707,39.5117,194997784,Apple
2018-02-02,39.0958,39.2806,37.7053,37.799,365087093,Apple
2018-02-05,37.4652,38.5892,36.7364,36.851,306758113,Apple
2018-02-06,36.4658,38.5537,36.2673,38.3957,289770607,Apple
2018-02-07,38.4065,38.4807,37.4575,37.5629,218602435,Apple
2018-02-08,37.7497,37.9147,36.5181,36.5419,230064576,Apple
2018-02-09,37.1473,37.3348,35.5275,36.9894,298558856,Apple
2018-02-12,37.477,38.7532,37.2479,38.4728,257033115,Apple
2018-02-13,38.3019,38.9617,38.2307,38.8638,137372774,Apple
2018-02-14,38.5518,39.6193,38.5171,39.579,171200167,Apple
2018-02-15,40.1477,40.9349,39.9681,40.9091,215318000,Apple
2018-02-16,40.7603,41.3399,40.617,40.7749,169666365,Apple
2018-02-20,40.6843,41.2055,40.535,40.6367,143335691,Apple
2018-02-21,40.8698,41.171,40.4362,40.4502,158099115,Apple
2018-02-22,40.6248,41.1324,40.6032,40.7917,130905068,Apple
2018-02-23,41.0653,41.5375,41.0358,41.5038,142869958,Apple
2018-02-26,41.7004,42.4213,41.6678,42.3217,160108752,Apple
2018-02-27,42.3502,42.6822,42.1349,42.1864,164621774,Apple
2018-02-28,42.3898,42.7108,42.1083,42.1251,159775555,Apple
2018-03-01,42.2219,42.5093,40.8294,41.3844,206376930,Apple
2018-03-02,40.8628,41.6886,40.7798,41.6678,162616558,Apple
2018-03-05,41.4346,42.0313,41.2697,41.8081,120105531,Apple
2018-03-06,42.0729,42.1548,41.649,41.7716,100598377,Apple
2018-03-07,41.3685,41.5839,41.2085,41.3913,134069651,Apple
2018-03-08,41.4988,41.8831,41.4012,41.8377,100537479,Apple
2018-03-09,42.0856,42.5635,41.9453,42.5586,136106695,Apple
2018-03-12,42.6357,43.1296,42.6159,42.9697,136199394,Apple
2018-03-13,43.1761,43.3953,42.3838,42.5566,134027650,Apple
2018-03-14,42.6425,42.688,42.049,42.1972,124194808,Apple
2018-03-15,42.2119,42.6228,42.1123,42.2467,96180445,Apple
2018-03-16,42.2467,42.3542,42.0028,42.1004,166637106,Apple
2018-03-19,41.9287,41.965,41.0653,41.4545,141441878,Apple
2018-03-20,41.4426,41.8041,41.3685,41.4426,83094441,Apple
2018-03-21,41.3943,41.4061,40.4953,40.4973,156700309,Apple
2018-03-22,40.198,40.8334,39.8693,39.9305,175458851,Apple
